"experience_level","employment_type","job_title","salary","remote_ratio","company_location","company_size"
"SE","FT","Data Scientist",93300,0,"US","M"
"SE","FT","Research Scientist",142200,0,"US","M"
"MI","FT","Data Engineer",58300,0,"US","M"
"SE","FT","Research Engineer",185000,0,"US","M"
"SE","FT","Machine Learning Engineer",184700,0,"US","M"
"SE","FT","Analytics Engineer",235400,100,"US","M"
"SE","FT","Data Scientist",104000,0,"US","M"
"SE","FT","Data Analyst",84870,0,"US","M"
"EN","FT","Data Engineer",160000,0,"US","M"
"SE","FT","Data Scientist",170000,100,"US","M"
"SE","FT","Data Scientist",156000,100,"US","M"
"MI","FT","Business Intelligence Analyst",62500,100,"US","M"
"SE","FT","Prompt Engineer",177961,0,"US","M"
"SE","FT","Data Scientist",212800,0,"US","L"
"SE","FT","AI Scientist",125000,100,"CO","L"
"SE","FT","Data Architect",250500,0,"US","M"
"SE","FT","Research Scientist",163200,0,"US","M"
"SE","FT","Data Scientist",144000,0,"US","M"
"SE","FT","Data Analyst",105000,100,"US","M"
"MI","FT","Product Data Analyst",16417,100,"IN","L"
"MI","FT","Research Scientist",128900,0,"US","M"
"SE","FT","Data Scientist",202000,100,"US","M"
"MI","FT","Applied Scientist",170000,0,"US","M"
"SE","FT","Data Scientist",212000,0,"US","M"
"MI","FT","Data Developer",130000,100,"US","M"
"MI","FT","Research Engineer",295000,0,"US","M"
"MI","FT","MLOps Engineer",124000,100,"US","M"
"SE","FT","AI Engineer",2e+05,100,"US","M"
"SE","FT","BI Developer",106500,0,"US","M"
"MI","FT","Research Scientist",102000,0,"US","M"
"SE","FT","Data Engineer",199700,0,"US","M"
"SE","FT","Data Scientist",225000,0,"US","M"
"EN","FT","Data Scientist",80000,0,"US","M"
"SE","FT","Data Analyst",36912,100,"GB","S"
"MI","FT","Data Scientist",75000,0,"US","M"
"SE","FT","Data Analyst",166000,0,"US","M"
"SE","FT","Data Engineer",232000,0,"US","M"
"MI","FT","Data Science",130000,0,"US","M"
"MI","FT","Data Scientist",128750,0,"US","M"
"SE","FT","Data Scientist",165000,0,"US","M"
"SE","FT","Data Scientist",208000,100,"US","M"
"SE","FT","Applied Scientist",136000,0,"US","L"
"SE","FT","Data Scientist",247600,0,"US","L"
"SE","FT","Applied Scientist",192000,100,"US","M"
"EN","FT","Data Science",57277,50,"FR","M"
"SE","FT","Data Engineer",103000,0,"US","M"
"SE","FT","Data Scientist",136000,0,"US","M"
"SE","FT","Data Scientist",175000,100,"US","M"
"EN","FT","Data Analyst",85000,100,"US","M"
"SE","FT","Machine Learning Engineer",94564,50,"DE","L"
"SE","FT","Data Engineer",133800,0,"US","M"
"SE","FT","Data Engineer",130000,100,"US","M"
"SE","FT","Data Quality Analyst",1e+05,0,"US","M"
"SE","FT","Data Scientist",170000,0,"US","M"
"EN","FT","Data Analyst",133000,0,"US","M"
"SE","FT","Data Analyst",70000,0,"US","M"
"SE","FT","Applied Scientist",136000,0,"US","L"
"SE","FT","Data Engineer",185100,100,"US","M"
"SE","FT","Research Scientist",144600,0,"US","M"
"EN","FT","Data Engineer",160000,0,"US","M"
"SE","FT","Data Engineer",90000,0,"US","M"
"MI","FT","Data Engineer",205600,0,"US","L"
"SE","FT","Data Engineer",1e+05,0,"US","M"
"SE","FT","Data Engineer",120000,0,"US","M"
"SE","FT","Machine Learning Engineer",245700,0,"US","M"
"MI","FT","Data Manager",115500,0,"US","M"
"SE","FT","Applied Scientist",136000,0,"US","L"
"MI","FT","Data Engineer",175000,0,"US","M"
"SE","FT","Data Scientist",120160,100,"US","M"
"SE","FT","Data Engineer",240500,0,"US","L"
"EN","FT","Data Analyst",140000,0,"US","M"
"SE","FT","Data Engineer",250000,0,"US","M"
"MI","FT","Machine Learning Engineer",160000,100,"US","M"
"MI","FT","Data Scientist",180000,0,"US","M"
"SE","FT","Data Manager",168400,0,"US","M"
"SE","FT","Machine Learning Engineer",220067,100,"US","M"
"SE","FT","Data Engineer",385000,0,"US","M"
"SE","FT","Data Architect",193000,100,"US","M"
"EN","FT","Machine Learning Engineer",20000,100,"IN","S"
"MI","FT","Research Engineer",245000,0,"US","M"
"MI","CT","Sales Data Analyst",60000,0,"NG","M"
"SE","FT","Research Engineer",190000,0,"US","M"
"SE","FT","Research Engineer",67993,0,"ZA","M"
"MI","FT","Data Architect",150000,100,"US","M"
"MI","FT","Data Analyst",110000,100,"US","M"
"SE","FT","Data Scientist",211000,100,"US","M"
"MI","FT","Data Engineer",39372,0,"GB","M"
"SE","FT","Data Engineer",199000,0,"US","M"
"SE","FT","Research Scientist",132500,0,"US","M"
"SE","FT","Data Analyst",168000,0,"CA","M"
"SE","FT","Data Scientist",212000,0,"US","M"
"SE","FT","Data Science Consultant",122000,0,"US","M"
"MI","FT","Data Analyst",165000,0,"AU","M"
"MI","FT","Business Intelligence Analyst",125000,0,"US","M"
"EN","FT","Data Engineer",115000,100,"US","M"
"SE","FT","Data Analyst",135000,100,"US","M"
"SE","FT","Data Analyst",95000,100,"US","M"
"MI","FT","Data Analyst",90000,0,"US","M"
"SE","FT","Machine Learning Scientist",105500,0,"US","M"
"MI","FT","Data Architect",1e+05,0,"US","M"
"SE","FT","Machine Learning Engineer",267720,0,"US","M"
"EN","FT","Research Analyst",115000,100,"US","M"
"SE","FT","Research Engineer",144600,0,"US","M"
"SE","FT","Data Architect",110000,100,"US","M"
"SE","FT","Data Engineer",128000,100,"US","M"
"MI","FT","Data Specialist",73000,0,"US","M"
"MI","FT","Data Scientist",123740,0,"US","M"
"SE","FT","Machine Learning Engineer",245700,0,"US","M"
"EN","FT","Business Data Analyst",48000,50,"US","L"
"MI","FT","Data Scientist",166000,0,"US","M"
"MI","FT","Machine Learning Engineer",133333,0,"DE","M"
"EN","FT","Applied Scientist",166000,100,"US","M"
"MI","FT","Machine Learning Scientist",170000,0,"US","M"
"SE","FT","Data Engineer",108768,0,"US","M"
"MI","FT","Data Engineer",175000,100,"US","M"
"SE","FT","Data Engineer",3e+05,0,"US","M"
"SE","FT","Data Engineer",103000,0,"US","M"
"SE","FT","Data Analyst",104300,0,"US","L"
"SE","FT","Business Intelligence Engineer",115000,100,"US","M"
"EX","FT","Data Engineer",115500,0,"US","M"
"SE","FT","Data Architect",185000,0,"US","M"
"EN","FT","Data Scientist",132200,0,"GB","M"
"SE","FT","Data Engineer",120000,0,"US","M"
"SE","FT","Data Scientist",180000,0,"US","M"
"SE","FT","Research Scientist",159300,0,"US","M"
"MI","FT","Machine Learning Scientist",180000,100,"CA","M"
"SE","FT","Data Engineer",72000,100,"US","M"
"SE","FT","Machine Learning Engineer",198000,0,"US","M"
"SE","FT","AI Architect",173000,0,"US","M"
"SE","FT","Business Data Analyst",1e+05,100,"US","L"
"SE","FT","Data Scientist",130000,100,"US","M"
"SE","FT","Data Engineer",126000,0,"US","M"
"SE","FT","Data Analyst",139000,0,"US","M"
"SE","FT","Data Engineer",56250,100,"GB","M"
"EN","FT","Data Engineer",65000,100,"US","S"
"MI","FT","Data Analyst",206000,0,"US","M"
"EX","FT","Data Scientist",145000,0,"US","M"
"MI","FT","Data Scientist",136000,0,"US","M"
"EX","FT","Data Architect",180000,0,"US","M"
"MI","FT","Data Engineer",49216,100,"GB","M"
"SE","FT","Data Lead",135000,100,"US","M"
"SE","FT","Data Scientist",111000,0,"US","M"
"SE","FT","Research Engineer",130000,0,"US","M"
"SE","FT","Data Analyst",171000,100,"AU","L"
"SE","FT","Machine Learning Engineer",267900,0,"US","M"
"MI","FT","Machine Learning Software Engineer",217600,0,"US","M"
"SE","FT","Research Analyst",107000,0,"US","M"
"MI","FT","Data Analyst",150000,0,"US","M"
"SE","FT","Machine Learning Engineer",195000,100,"US","M"
"SE","FT","Data Scientist",198300,100,"US","M"
"SE","FT","Data Analyst",136600,100,"US","M"
"SE","FT","Data Scientist",48585,0,"ES","M"
"SE","FT","Data Engineer",187100,0,"US","M"
"MI","FT","Data Scientist",112000,0,"US","M"
"SE","FT","Data Scientist",145000,100,"US","M"
"SE","FT","Data Scientist",190500,100,"CA","M"
"EX","FT","Data Manager",80000,0,"US","M"
"SE","FT","Data Scientist",129300,0,"US","M"
"MI","FT","Research Scientist",81500,100,"US","M"
"SE","FT","Data Engineer",185000,100,"US","M"
"SE","FT","Data Scientist",305600,0,"US","M"
"MI","FT","Business Data Analyst",135000,100,"US","L"
"MI","FT","Data Analyst",110000,0,"US","M"
"SE","FT","Research Scientist",125000,0,"US","M"
"SE","FT","Data Engineer",230000,100,"US","M"
"MI","FT","Head of Data Science",60805,50,"IN","L"
"EN","FT","Machine Learning Developer",1e+05,50,"IQ","S"
"MI","FT","Data Scientist",73100,0,"US","M"
"SE","FT","Data Engineer",185000,0,"US","M"
"SE","FT","Research Analyst",185000,0,"US","M"
"MI","FT","Data Scientist",111600,0,"US","L"
"SE","FT","Data Analyst",1e+05,100,"US","M"
"EN","FT","Research Scientist",195200,0,"US","L"
"SE","FT","Data Specialist",72000,0,"US","M"
"MI","FT","Data Science Manager",267100,0,"US","M"
"SE","FT","Machine Learning Engineer",180000,0,"US","M"
"SE","FT","Data Scientist",175000,100,"US","M"
"SE","FT","Data Architect",186000,0,"US","M"
"MI","FT","Research Engineer",96800,0,"US","M"
"SE","FT","Machine Learning Engineer",142200,0,"US","M"
"SE","FT","Data Analyst",104000,100,"US","M"
"EN","FT","Research Scientist",162170,100,"US","M"
"SE","FT","Machine Learning Engineer",65000,100,"AE","S"
"SE","FT","Data Engineer",247300,0,"US","M"
"EX","FT","Data Engineer",204500,0,"US","M"
"MI","FT","Data Scientist",123800,100,"US","M"
"SE","FT","Analytics Engineer",120000,0,"US","M"
"SE","FT","Data Infrastructure Engineer",145000,0,"US","M"
"SE","FT","Analytics Engineer",138750,100,"US","M"
"SE","FT","Analytics Engineer",190000,0,"US","M"
"MI","FT","Data Analyst",150000,0,"US","M"
"SE","FT","Analytics Engineer",143860,0,"US","M"
"SE","FT","AI Engineer",180000,0,"US","M"
"EN","FT","Data Analyst",63000,0,"US","M"
"MI","FT","Machine Learning Engineer",84000,100,"VN","M"
"SE","FT","Data Scientist",240000,0,"US","M"
"SE","FT","Data Scientist",104000,100,"US","M"
"SE","FT","Applied Scientist",290000,100,"US","M"
"SE","FT","Data Engineer",250000,100,"US","M"
"SE","FT","Data Scientist",210000,0,"US","M"
"SE","FT","Data Engineer",147500,100,"US","M"
"MI","FT","BI Analyst",70000,100,"US","M"
"SE","FT","Data Scientist",255000,0,"US","M"
"SE","FT","Data Scientist",182000,0,"US","M"
"SE","FT","Data Manager",140000,0,"US","M"
"SE","FT","Data Engineer",122000,0,"US","M"
"MI","FT","Data Scientist",68088,0,"US","M"
"MI","FT","AI Engineer",120000,0,"US","M"
"MI","FT","Machine Learning Engineer",135000,50,"US","L"
"MI","FT","Data Engineer",130400,0,"US","M"
"SE","FT","Data Modeler",140000,0,"US","M"
"SE","FT","Machine Learning Engineer",238000,0,"US","M"
"SE","FT","Data Scientist",93400,0,"US","M"
"MI","FT","Business Intelligence Analyst",153800,100,"US","M"
"EN","FT","Research Scientist",150000,0,"US","M"
"MI","FT","Research Scientist",340000,100,"US","M"
"SE","FT","Data Engineer",165100,0,"US","M"
"MI","FT","Research Scientist",220000,0,"US","M"
"SE","FT","Data Scientist",359170,0,"US","M"
"MI","FT","Data Engineer",250000,0,"US","M"
"MI","FT","Data Scientist",61566,0,"GB","M"
"MI","FT","AI Engineer",73100,0,"US","M"
"SE","FT","Data Engineer",116000,0,"US","M"
"MI","FT","Business Intelligence",150000,0,"US","M"
"SE","FT","Machine Learning Engineer",182000,0,"US","M"
